#peak_num	name	confidence	molecular ion
1780	Ethanone, 1-(2,5-dimethylphenyl)-	2	148
1795	Benzaldehyde, 4-hydroxy-	2	122
1802	3-Decen-5-one	0	154
1857	Tricyclo[7.1.0.0(4.6)]decane-5-carboxamide, 10,10-dichloro-N-(2,4,6-trimethylphenyl)-	0	365
1859	Cyclohexane, 1,1,3,5-tetramethyl-, trans-	0	140
1864	5-Nonen-2-one	0	140
1899	Vanillin	2	152
1910	trans-1,10-Dimethyl-trans-9-decalinol	2	182
1916	2,4,7,9-Tetramethyl-5-decyn-4,7-diol	0	226
1957	Pyrrolidine-2-carboxylic acid, 1-(2-furoyl)-	0	209
1969	8-Hydroxycarvotanacetone	0	168
1979	Phenol, 3,4-dimethoxy-	2	154
2006	9,12-Octadecadienoic acid (Z,Z)-, phenylmethyl ester	0	370
2042	butylphthalide	0	190
2059	Phenol, 2-methoxy-4-propyl-	0	166
2082	2,3-Dihydro-4-methoxy-3,3-dimethylindole-2-one	0	191
2115	Boroxin, ethylmethylpropyl-	0	168
2128	Ethanone, 1-[4-(methylthio)phenyl]-	2	166
2138	Pyridine, 3-fluoro-5-amino-	0	112
2166	1,3-Cyclopentanedione, 2,2-dimethyl-	0	126
2210	Hymecromone	0	176
2233	5-tert-Butylpyrogallol	2	182
2249	1,7-Dioxaspiro[5.5]undec-2-ene	0	154
2257	2(4H)-Benzofuranone, 5,6,7,7a-tetrahydro-4,4,7a-trimethyl-, (R)-	2	180
2262	2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-	0	144
2303	Ethanone, 1-(1a,2,3,5,6a,6b-hexahydro-3,3,6a-trimethyloxireno[g]benzofuran-5-yl)-	0	222
2326	Benzeneacetaldehyde, 2-methoxy-à,5-dimethyl-	0	178
2329	2-Adamantanol, 2-(bromomethyl)-	0	244
2334	3',5'-Dimethoxyacetophenone	0	180
2349	Fumaric acid, ethyl 2-methylallyl ester	0	198
2362	2,3,4-Trimethoxydibenzofuran	0	258
2367	Benzamide, N,N-diethyl-4-methyl-	2	191
2384	(7,7-Dimethyl-2-oxobicyclo[2.2.1]hept-1-yl)-methanesulfonyl chloride	0	250
2392	Vanilic acid hydrazide	0	182
2412	Ethanone, 1-(1a,2,3,5,6a,6b-hexahydro-3,3,6a-trimethyloxireno[g]benzofuran-5-yl)-	0	222
2414	6-Methyl-6-hepten-4-yn-3-ol	0	124
2428	1-(4-Acetoxy-3,5-di-tert.butylphenyl)-3-morpholinopropan-1-one	0	389
2439	13-Oxadispiro[5.0.5.1]tridecan-1-one	2	194
2447	2-Hexanone, 6-methoxy-	0	130
2448	Hexanoic acid, tridec-2-ynyl ester	0	294
2453	Phenol, 3,4,5-trimethoxy-	2	184
2454	Ethanone, 1-(1a,2,3,5,6a,6b-hexahydro-3,3,6a-trimethyloxireno[g]benzofuran-5-yl)-	2	222
2464	Benzene, 1,5-dimethyl-2,4-bis(1-methylethyl)-	0	190
2476	4-[3,4-Dimethoxycyclohexyl]-n-butanol	0	216
2496	Butanoic acid, tridec-2-ynyl ester	0	266
2499	Cyclopropanecarboxylic acid, but-3-yn-2-yl ester	0	138
2553	7-(2-Acetylcyclopropyl)-6,6-dimethylheptane-2,5-dione	0	238
2576	Etamiphyllin	0	279
2602	2,5-Dimethoxythiophenol	0	170
2640	2(3H)-Benzothiazolone	2	151
2643	O-p-toluenesulfonyll-N-acetylserine, methyl ester	2	315
2670	Octahydroquinolin-4-one	0	153
2674	1,3-Cyclopentanedione, 2,4-dimethyl-	0	126
2675	Thieno[2,3-c]furan-3-carbonitrile, 2-amino-4,6-dihydro-4,4,6,6-tetramethyl-	2	222
2686	Acetic acid, 6,6-dimethyl-2-methylene-7-(3-oxobutylidene)oxepan-3-ylmethyl ester	0	280
2743	1-Butanone, 4-nitro-1-(2-oxocyclohexyl)-	0	213
2747	Benzoic acid, 2,4-dihydroxy-3,6-dimethyl-, methyl ester	2	196
2758	DL-Norleucine, N-isobutoxycarbonyl-, ethyl ester	0	259
2819	Xanthoxylin	0	196
2839	7-Acetyl-2-hydroxy-2-methyl-5-isopropylbicyclo[4.3.0]nonane	2	238
2907	Tri(2-chloroethyl) phosphate	2	284
2920	Benzanilide, 3,4,5-trimethoxy-2'-nitro-	0	332
2961	Benzene, 2-methoxy-1,3,5-trimethyl-4-nitro-	0	195
3017	1,3-Isobenzofurandione, 4,5,6,7-tetrahydro-4,7-dimethyl-	0	180
3043	Tetradecanoic acid	0	228
3055	2-Azafluorenone	2	181
3091	(4-Methoxy-phenyl)-(2-nitrocyclohexyl)-methanol	0	265
3188	Hexadecenoic acid, Z-11-	2	254
3235	Scopoletin	2	192
3355	Tridecanoic acid	0	214
3358	Phenol, 2-(phenylmethoxy)-	0	200
3440	6,7-Dimethoxy-1,4-dihydro-2,3-quinoxalinedione	0	222
3456	Phenethylamine, 3-benzyloxy-2-fluoro-á-hydroxy-	0	261
3519	Silane, 1-hexynyltrimethyl-	0	154
3756	3,3,5,5-Tetramethylcyclopentene	0	124
3760	6,7-Dimethoxy-1-styryl-1,2,3,4-tetrahydro-isoquinoline	0	295
3937	2(1H)-Pyrimidinethione, 4-amino-	0	127
4095	2,4-Pentadienoic acid, 3-(aminomethyl)-N-acetyl-N-(diphenylmethyl)-, ethyl ester	0	363
4226	(6-Isopropyl-4-methoxy-3-methylthio-2,4,6-cycloheptatrienylidene)malononitrile	0	272
4234	5,10-Dihydroxy-2-methoxy-7-methyl-1,4-anthracenedione	2	284
4512	BOSCALID	0	342
