#peak_num	name	confidence	molecular_ion
512	4-Pyridinol	0	95
516	4(1H)-Pyrimidinone, 2-methyl-	0	110
519	(Z)-Dec-4-enyl (E)-2-methylbut-2-enoate	0	238
522	Oxirane, tetramethyl-	0	100
524	Octanoic acid, methyl ester	0	158
527	2-Hexanone, 6-bromo-	0	178
528	Cyclopentanone, 2,3-dimethyl-	2	112
533	Phenylethyl Alcohol	2	122
537	Maltol	2	126
538	Levoglucosenone	2	126
539	Butyl-tert-butyl-isopropoxyborane	0	184
541	Ethanone, 1-cyclopropyl-	2	84
543	2-Cyclopenten-1-one, 3-ethyl-2-hydroxy-	2	126
545	3-Ureidopropionic acid, N-dimethylaminomethylene-, butyl ester	0	243
548	Cyclobutanecarboxylic acid, cyclobutyl ester	0	154
553	Sydnone, 3,4-dimethyl-	0	114
559	Decane, 5-methyl-	0	156
562	n-Decanoic acid	0	164
567	2(3H)-Furanone, 5-acetyldihydro-	2	128
568	Succinimide	2	99
571	2-Isobutyl-3-methylpyrazine	0	150
575	Diallyl carbonate	0	142
588	Nonanal, 3-(methylthio)-	0	188
590	Dithiocarbamate, S-methyl-,N-(2-methyl-3-oxobutyl)-	0	191
595	Cyclohexanone, 2-acetyl-	0	140
598	2H-Pyran, 2-(3-butynyloxy)tetrahydro-	0	154
600	Imidazole-2-carboxylic acid, 4-methyl-	0	124
601	2,3-Dimethyl-3-pyrazolin-5-one	0	112
602	Heptanoic acid, 2-methylbutyl ester	0	200
608	1,2-Dioxolan-3-one, 5-methyl-4-methylene-	0	114
610	3-Methoxymethoxy-2-methyl-non-1-ene	0	200
612	2-Oxepanone	2	114
616	Hexanamide	0	157
619	3H-Indazol-3-one, 1,2,4,5,6,7-hexahydro-	2	138
624	2-Nonenal, (Z)-	0	140
639	2,3-Di-O-benzoyl-d-ribopyranose	0	237
641	2-Phenylpropenal	2	132
642	3-Pyridinol, 6-methyl-	0	109
645	Succinic anhydride	0	100
646	2(3H)-Furanone, dihydro-4-hydroxy-	2	102
647	1-Nonanol	0	144
649	Octanoic acid	0	144
652	Acetic acid, phenylmethyl ester	2	150
653	1,3-Cyclopentadiene, 1,2,5,5-tetramethyl-	0	122
663	Ethanone, 1-(3-ethyloxiranyl)-	0	114
667	3-[N'-(3H-Indol-3-ylmethylene)-hydrazino]-5-methyl-[1,2,4]triazol-4-ylamine	0	255
669	N(N'-Methyl-N'-nitroso(aminomethyl))benzamide	0	193
671	Benzoic acid	2	122
674	(2,2-Dimethylcyclobutyl)methylamine	0	113
676	Acetic acid, 4-methyl-2-oxotetrahydropyran-4-yl ester	0	172
677	Oxazolidin-2-one	2	87
679	1,2-Benzenediol, O-isobutoxycarbonyl-	0	152
680	2(1H)-Pyridinone, 3,6-dimethyl-	0	123
682	Decane, 1-fluoro-	0	146
684	Benzeneacetic acid, methyl ester	2	150
686	Azetidine, n-propyl-	0	99
688	2-Oxazolidinone,4,4-dimethyl-	0	115
699	2-Decanone	0	156
700	Ethanol, 2-(2-butoxyethoxy)-	0	162
701	Benzaldehyde, 4-ethyl-	2	134
706	1,3-Butanediamine	0	88
717	Cyclobutanecarboxylic acid, 2-pentadecyl ester	0	310
719	4-Vinyl-imidazole	2	94
720	Glutarimide	2	113
721	1H,1H,2H,2H-Perfluorodecan-1-ol	0	464
723	2-Cyclohexen-1-one, 4-ethyl-4-methyl-	2	138
724	Ethanone, 1-(4-methylphenyl)-	2	134
725	Benzaldehyde, oxime	2	121
734	3-Trifluoroacetoxypentadecane	0	324
737	2-Methoxy-p-phenylenediamine	0	138
739	2H-Pyran-2-one, 6-ethyltetrahydro-	0	128
740	(S)-(+)-2',3'-Dideoxyribonolactone	0	116
743	Phenol, 2-(1-methylethyl)-	2	136
747	1-Heptene, 3-methyl-	0	112
748	2-Piperidinone	0	99
750	Decanal	0	156
753	Methyl salicylate	2	152
754	p-Chlorophenyl (2-methoxyethyl)carbamate	0	229
758	N-Glycylglycine	0	132
762	Pyrazine	0	80
764	Catechol	2	110
773	Cyclobutanone, 2-methyl-4-hydroxy-	0	100
776	2,5-Dimethylbenzyl chloride	2	154
778	Bicyclo[2.2.1]heptane, 2-(1,1-dimethyl-2-propenyl)-	0	212
787	Ethane, 1,1'-oxybis[2-methoxy-	0	134
791	1,4:3,6-Dianhydro-à-d-glucopyranose	2	144
796	Phenol, 4-ethenyl-, acetate	0	162
802	3-Acetoxydodecane	0	228
805	Dianhydromannitol	0	146
809	Neodecanoic acid	0	172
816	Phenol, 4-(1-methylethyl)-	2	136
818	Ethanol, 2-phenoxy-	2	138
821	1,2-Ethanediol, 1-(2-furanyl)-	2	128
822	Butyl aldoxime, 3-methyl-, syn-	0	101
830	1,3-Cyclopentadiene, 1-(3-butynyl)	2	118
836	3,4-Anhydro-d-galactosan	0	144
846	Triethylene glycol	2	150
857	3-Pyridinecarbonitrile	2	104
858	Benzenemethanol, 4-ethyl-	2	136
860	9-Oxabicyclo[3.3.1]nonan-2-ol, 6-[(tetrahydropyran-3-yl)oxy]-	0	242
863	2-Cyclohexylpiperidine	0	167
875	Benzothiazole	2	135
876	Ethanone, 1-(3-methyloxiranyl)-	0	100
881	Butanoic acid, 2-ethyl-2,3,3-trimethyl-	0	158
883	Benzeneacetamide, à-ethyl-	0	163
885	Cyclohexanecarboxylic acid, 4-methylpentyl ester	0	212
890	4-Oxononanal	0	156
892	Hexanoic acid, 4-tetradecyl ester	0	312
894	2-Coumaranone	2	134
897	Cyclohexanone, 2-(1-methylethylidene)-	2	138
898	Butanal, propylhydrazone	0	128
903	4-Fluorophenyl 2-thiophenecarboxylate	0	127
904	2-Hexanone, 6-(acetyloxy)-	0	158
909	Benzoylformic acid	2	150
910	1,4-Butanediol, 2,3-bis(methylene)-	0	114
914	Hexanoic acid, 4-hexadecyl ester	0	340
916	1-Ethoxypropan-2-yl acetate	0	146
919	Nonanoic acid	0	158
920	Propanoic acid, dimethyl(ethenyl)silyl ester	0	158
923	Cyclohexanone, 2-(1-methylethylidene)-	0	194
924	5-Vinyl-pyrazole	0	94
925	3-Methoxy-2,2-dimethyloxirane	0	102
927	Nonanoic acid	0	158
929	3-Oxo-4-phenylbutyronitrile	0	159
930	2(3H)-Benzofuranone, 3-methyl-	0	148
936	Vinyl caprylate	0	170
939	2H-Pyran, 2-(bromomethyl)tetrahydro-	0	178
942	Benzaldehyde, 3-methoxy-	2	136
952	5-(3-Ethoxy-4,5-dihydro-isoxazol-5-yl)-5-methyl-imidazolidine-2,4-dione	0	227
957	Butanoic acid, 3-methyl-, 3-phenylpropyl ester	0	220
962	Butanoic acid, 2-ethyl-2,3,3-trimethyl-	0	158
965	1,2-Benzenediol, 3-methyl-	0	124
966	Caprolactam	2	113
967	N,N-Diamylmethylamine	0	171
968	2-Piperidinone, N-[4-bromo-n-butyl]-	0	233
969	n-Decanoic acid	0	172
970	Benzoic acid, 4-methyl-	2	136
971	3-Cyclopenten-1-one, 2,2,5,5-tetramethyl-	0	138
976	Bendiocarb	0	223
979	Formic acid, 1-phenylpropyl ester	0	164
985	Benzylidenemalonaldehyde	0	160
986	Hydroquinone	2	110
993	2(3H)-Furanone, 3-acetyldihydro-3-methyl-	0	142
999	2-Dodecanone	0	184
1002	Resorcinol, 2-acetyl-	2	152
1007	Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, formate, endo-	0	182
1011	2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-	0	144
1012	3-Cyclobutene-1,2-dione, 3,4-dihydroxy-	2	114
1014	N-tert-Octylacrylamide	0	183
1016	2H-Pyran-2-one, tetrahydro-6-propyl-	0	142
1020	Phenol, p-tert-butyl-	2	150
1021	1H-Inden-1-one, 2,3-dihydro-	2	132
1027	4-tert-Butylcyclohexyl acetate	2	198
1030	1,3-Dioxolan-2-one, 4-methyl-5-methylene-4-(2-methyl-2-phenylpropyl)-	0	246
1033	1,2-Benzenediol, 4-[2-(methylamino)ethyl]-	0	167
1034	Silane, trimethyl(4-methyl-3-penten-1-ynyl)-	0	152
1035	Isosorbide	2	146
1036	Cyclopentanone	0	84
1039	Benzocycloheptatriene	2	142
1040	3-Methyldec-3-ene	2	154
1045	p-Isopropenylphenol	2	134
1047	2-Furancarboxylic acid, hydrazide	0	126
1048	Glucopyranuronamide, 1-(4-amino-2-oxo-1(2H)-pyrimidinyl)-1,4-dideoxy-4-(D-2-(2-(methylamino)acetamido)hydracrylamido)-, á-D-	0	443
1049	1-Imidazolidinemethanol, 4,4-dimethyl-2,5-dioxo-	0	158
1059	à-l-Mannose semicarbazone pentaacetate	0	213
1060	5H-1-Pyrindine	2	117
1061	4,5-Bis-dimethoxymethyl-octanedioic acid, dimethyl ester	0	350
1065	2-t-Butyl-cyclopropanecarboxylic acid, 2,6-di-t-butyl-4-methyl-phenyl ester	0	344
1068	5-Acetoxymethyl-2-furaldehyde	0	168
1069	Thiophene, 3-nitro-2-(2-thienylsulfonyl)-	0	275
1080	4a(2H)-Naphthalenol, octahydro-4,8a-dimethyl-,(4à,4aà,8aá)-	0	182
1081	3,4-Dimethylbenzyl isothiocyanate	0	177
1082	cis-1,2-Dihydrocatechol	0	112
1083	Propanoic acid, 3-chloro-, 4-formylphenyl ester	0	212
1088	4a(2H)-Naphthalenol, 2-bromo-4,4-dichlorooctahydro-	0	300
1089	Phenyl-á-D-glucoside	0	109
1090	4H-1,2,4-Triazol-3-amine, 4-methyl-	2	98
1092	2-Propanol, 1,1'-[(1-methyl-1,2-ethanediyl)bis(oxy)]bis-	0	192
1093	2,3,6-Trimethylacetophenone	2	162
1094	2-Methoxy-4-vinylphenol	2	150
1095	Divinyl sulfide	2	86
1098	2-Cyclohexen-1-one, 2-methyl-5-(1-methylethyl)-, (S)-	2	152
1099	5-[2-(1,3-Dioxolan-2-yl)-ethyl]-2-methyl-1-cyclopentene-1-carboxaldehyde	0	210
1102	Sorbic Acid	0	112
1111	2,5-Dimethyl-3-hexanol acetate	0	172
1113	Bicyclo[4.4.1]undeca-1,3,5,7,9-pentaene	0	142
1114	Phenol, 2-(2-methylpropyl)-	2	150
1119	Formic acid, neopentyl ester	0	116
1123	Pentanoic acid, 4-oxo-, pentyl ester	0	186
1125	4-tert-Butylcyclohexyl acetate	0	198
1126	2(3H)-Benzofuranone, 3-methyl-	2	148
1127	m-Ethylaminophenol	2	137
1132	Methyl-3-(2,2-dichlorovinyl)-2,2-dimethyl-(1-cyclopropane)carboxylate,c&t	2	222
1134	Triacetin	2	218
1136	2,4-Imidazolidinedione, 5-methyl-	2	114
1142	(S)-(+)-2',3'-Dideoxyribonolactone	0	116
1147	4,4,6-Trimethyl-cyclohex-2-en-1-ol	2	140
1148	Carbamic acid, phenyl-, methyl ester	2	151
1149	Piperonal	2	150
1153	Methyl-3-(2,2-dichlorovinyl)-2,2-dimethyl-(1-cyclopropane)carboxylate,c&t	2	222
1155	Benzamide	0	121
1156	Perfluorooctane	0	438
1159	Methyl anthranilate	2	151
1164	Pentafluoropropionic acid, 10-undecenyl ester	0	316
1165	Nonanamide	0	157
1174	n-Decanoic acid	0	172
1176	Phenol, 2,6-dimethoxy-	2	154
1178	Sydnone, 3-(phenylmethyl)-	0	176
1184	n-Decanoic acid	0	172
1185	1-Cyclohexanone, 3-butyl-3-methyl-	0	168
1186	2-Cyclohexylpiperidine	0	167
1189	Pyridine, 2-(1-methyl-2-pyrrolidinyl)-	2	162
1190	Cyclopentaneethanol, 2-(hydroxymethyl)-á,3-dimethyl-	0	172
1194	Hydantoin	2	100
1197	o-Isopropylphenetole	2	164
1203	Nonanoic acid, 3,5-difluophenyl ester	0	270
1204	6-Hydroxy-4-oxodecanedioic acid, ëlactone, methyl ester	0	228
1206	3-Buten-2-one, 4-phenyl-, (E)-	2	146
1208	1(3H)-Isobenzofuranone	2	134
1212	Azetidine, 1,3-dimethyl-	0	85
1213	2-Benzyloxyethylamine	0	151
1216	2-Methylpiperidine	0	99
1220	2-Pentenoic acid, 4-oxo-, methyl ester, (Z)-	0	128
1222	Tricyclo[4.3.1.1(3,8)]undecan-3-ol	0	166
1224	Benzaldehyde, 4-hydroxy-	2	122
1226	Acetic acid, 2-oxa-7-thia-tricyclo[4.3.1.0(3,8)]dec-10-yl ester	0	154
1227	Cyclopropane, 1-heptyl-2-methyl-	0	154
1231	Benzoic acid, hexyl ester	0	206
1237	6-Oxa-bicyclo[3.1.0]hexan-3-ol	0	100
1243	Ethanone, 1-(2,5-dimethylphenyl)-	2	148
1244	3-Tetradecene, (Z)-	0	196
1254	1,6-Anhydro-2,3-dideoxy-á-D-threo-hexopyranose	0	130
1256	Decanoic acid, ethyl ester	0	200
1260	Norfenefrine	0	153
1261	N-Ethyl-2-isopropoxycarbonylazetidine	0	171
1263	N-[2-Hydroxyethyl]succinimide	0	143
1267	1,2,3,4,5-Cyclopentanepentol	0	158
1272	2-Propenoic acid, 3-phenyl-, methyl ester	2	162
1273	1,3,4-Trimethyl-5-ethoxypyrazole	0	154
1274	Octanoic acid, 8-hydroxy-, methyl ester	0	174
1275	Chloroxylenol	0	156
1276	1,6-Anhydro-3,4-dideoxy-á-D-gluco-hexopyranose	0	130
1279	Perfluorooctane	0	438
1281	3-Cyano-3-methyl-4-oxopentanamide	0	154
1285	7-(Benzyloxy-methylene)-bicyclo[2.2.1]heptane-1-carboxylic acid, methyl ester	0	182
1286	2-Tridecen-1-ol, (E)-	0	198
1288	Hydrocoumarin	2	148
1289	2-Dodecanol	0	186
1291	2,4-Octadienoic acid, 3-methyl-, methyl ester	2	168
1292	Ethanone, 1-(3-hydroxyphenyl)-	2	136
1296	1,4-Benzenediol, 2-methoxy-	0	140
1301	Perfluoro-1,3-dimethylcyclohexane	0	400
1305	2,3-Dimethylhydroquinone	2	138
1306	Vanillin	2	152
1307	Benzeneacetamide	2	135
1308	Benzyl alcohol, 3-ethylamino-	0	151
1310	Niacinamide	2	122
1312	Benzene, 2-isocyanato-1,3-bis(1-methylethyl)-	2	203
1313	Methyl-3-(2,2-dichlorovinyl)-2,2-dimethyl-(1-cyclopropane)carboxylate,c&t	0	222
1314	2-Carbomethoxy-8-methyl-8-azabicyclo[3.2.1]oct-2-ene	2	181
1315	5-Ethylhydantoin	0	128
1321	5-Hydroxymethyldihydrofuran-2-one	0	116
1326	Piperidine, 1-(1-butenyl)-	0	139
1332	1,2-Ethanediamine, N,N,N'-trimethyl-	0	102
1337	2,3-Dimethylhydroquinone	0	138
1341	Coumarin, 3-bromo-7-ethylamino-4,6-dimethyl-	0	295
1342	3-Isopropoxy-benzoic acid	0	180
1347	Ethyl trans-2-pentenoate	0	128
1348	1,1'-(1,1'-Cyclopropylidenediethylidene)disemicarbazide	0	240
1349	Acetonitrile, 2-chloro-2-[dimethylamine(N-B)bis(trifluoromethyl)boryl]-	0	268
1351	Ethanamine, N,N-dimethyl-2-[(trimethylsilyl)oxy]-	0	161
1357	2,4(1H,3H)-Pyrimidinedione, dihydro-	0	114
1364	1,4,7,10-Tetraoxacyclododecan-2-one	0	190
1372	Pyridine, 3-(3,4-dihydro-2H-pyrrol-5-yl)-	2	146
1391	Phenol, 2,6-bis(1,1-dimethylethyl)-	2	206
1394	2-Propanone, 1,1-diethoxy-	0	146
1395	2,4,6-Trimethyl-1,6-heptadien-4-ol	0	154
1396	Myristoleic acid	0	226
1401	5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-	0	194
1402	Undecylenic acid	0	184
1404	Benzene, 1-ethoxymethyl-4-tert-butyl-	2	192
1405	1-Propanol, 2,2-dimethyl-, benzoate	2	192
1406	N-(3,4-Dichlorophenyl)-3-[(4-hydroxybenzoyl)hydrazono]butyramide	0	379
1408	3-Pyridinecarboxamide, N-methyl-	2	136
1413	2-(2-Diethylamino-ethoxy)-fluoren-9-one	0	295
1416	Non-7-ynamide	0	153
1423	Undecanoic acid	0	186
1425	Butanal, oxime	0	87
1429	Phenol, 4-(2-methylpropyl)-	0	150
1430	2,5-Hexanedione, 3,4-dimethyl-	0	142
1431	L-Leucine, N-glycyl-	0	188
1436	3-Hydroxybenzhydrazide	2	152
1437	2-Propenoic acid, 3-(2-hydroxyphenyl)-, (E)-	2	164
1441	5-Undecene, 7-methyl-, (Z)-	0	168
1443	Dodecyltrimethylammonium chloride	0	263
1448	Phthalic acid, methyl 2-methylphenyl ester	0	270
1451	Dodecane, 1-chloro-	0	204
1452	3-Tetradecene, (Z)-	0	196
1457	Sucrose	0	342
1463	8-Benzoyloctanoic acid	0	248
1465	4-n-Butylbenzoic acid, 2-ethylcyclohexyl ester	0	288
1482	2-Pentenoic acid, 4-oxo-, methyl ester, (Z)-	0	128
1483	2(3H)-Furanone, 5-acetyldihydro-	2	128
1484	Ethyl trans-2-pentenoate	0	128
1485	Biphenylene	2	152
1491	1-Acetoxy-p-menth-3-one	0	212
1494	o-Cyanobenzoic acid	2	147
1495	Salicylamide	2	137
1501	2,2,2-Trichloro-1-(4-ethoxyphenyl)ethyl n-butylcarbamate	0	367
1510	4-Methylphthalaldehyde	0	148
1513	Indole, 3-methyl-2-(2-dimethylaminopropyl)-	0	216
1514	Fumaric acid, 2-butyl isobutyl ester	0	228
1515	Suberic acid monomethyl ester	0	188
1516	Ethanone, 1-[4-(1-hydroxy-1-methylethyl)phenyl]-	0	178
1519	Cyclopentanone, 3,4-bis(methylene)-	0	108
1522	3-Penten-2-one, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-	2	206
1523	2H-Pyran-2-one, 5,6-dihydro-6-pentyl-	0	168
1524	Pyridine, 3-phenyl-	0	155
1525	1(3H)-Isobenzofuranone, 5-methyl-	2	148
1526	2H-Indol-2-one, 1,3-dihydro-	2	133
1531	Benzeneacetic acid, 4-hydroxy-, methyl ester	2	166
1539	1H-Pyrrole-2-carboxaldehyde, 5-methyl-	0	109
1541	4-Hydroxy-3-methylacetophenone	2	150
1546	Hydroperoxide, 1-methylethyl	0	76
1550	Benzoic acid, p-tert-butyl-	2	178
1551	Tetraethyleneglycol monomethylether	0	208
1552	N-Ethyl-1-phenyl-3-butanamine	0	177
1559	m-Toluic acid, pentyl ester	0	206
1561	Apocynin	2	166
1573	1,3-Benzenedicarboxylic acid, dimethyl ester	2	194
1574	Tetrahydrofuran-2-one, 3-[2-pentenyl]-4-methyl-	0	168
1575	Tetraethylene glycol	0	194
1576	Cyclohexanone, 2-octyl-	0	210
1578	á-D-Glucopyranose, 1,6-anhydro-	0	162
1585	Butanamide, N-formyl-2-hydroxy-3-methyl-2-(1-methylethyl)-	0	187
1586	Indene-1,7(4H)-dione, 3a,7a-dihydro-5-methyl-	0	162
1608	Ethanone, 1-(2,3,4-trichlorophenyl)-	2	222
1609	Pyrido[2,3-d]pyridazine-5(6H)-thione	0	163
1614	1-Undecanol	0	172
1620	1,3-Benzodioxol-5-amine	2	137
1623	1-Penten-3-one, 1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-	2	206
1626	1-Naphthalenol	2	144
1629	1,3-Cyclopentanedione, 4-methyl-5-pentyl-	0	182
1632	1,8(2H,5H)-Naphthalenedione, hexahydro-8a-methyl-, cis-	0	180
1633	4-(Phenylmethyl)benzeneethanamine	0	211
1634	Ethanol, 2-[2-(2-methoxyethoxy)ethoxy]-	0	164
1636	o-Hydroxybiphenyl	2	170
1638	Lilial	2	204
1639	Benzyl sulfone	0	246
1640	1,2,3,4,5-Cyclopentanepentol	0	150
1641	Furan, 3-phenyl-	2	144
1642	3-Hexanol, 2,5-dimethyl-	0	130
1645	1-Dodecanethiol	2	202
1646	Nonanoic acid, pentafluorophenyl ester	0	324
1647	Dibenzofuran	0	168
1651	Nonanedioic acid, dimethyl ester	2	216
1654	4-Methoxymethoxy-4-methyl-hex-2-yn-1-ol	0	172
1655	2-Propanone, 1-(4-hydroxy-3-methoxyphenyl)-	2	180
1656	2(3H)-Furanone, dihydro-5-phenyl-	2	162
1659	Benzene, (1-azido-1-methylethyl)-	0	161
1660	Ethanone, 1-(3-amino-4-methoxyphenyl)-	0	165
1663	Myristoleic acid	0	226
1666	Hexanoic acid, anhydride	0	214
1669	Ethanone, 1-(3-methyloxiranyl)-	0	100
1680	Benzoic acid, 2-amino-6-chloro-, methyl ester	2	185
1682	Desulfoglucobrassicin	0	368
1685	Dodecane, 1-bromo-	0	248
1686	Dodecanoic acid	2	200
1687	2-Octene, 1-(methoxymethoxy)-, (E)-	0	172
1694	2-Furanone, 4-phenyltetrahydro	2	162
1700	1,3-Diazine	0	80
1708	2,4-Imidazolidinedione, 5-(2-methylpropyl)-, (S)-	0	156
1709	á-d-Lyxofuranoside, O-nonyl-	0	276
1712	Cyclopentadecanone, 4-methyl-	0	238
1716	[1,2,4]Triazole-3-thione, 4-allyl-2-morpholin-4-ylmethyl-5-phenyl-2,4-dihydro-	0	259
1720	Benzene, 1-ethyl-4-(2-methylpropyl)-	0	162
1723	Cyclopropane, 1-acetyl-2-(2,2,2-trichloroethyl)-	0	214
1726	Dodecane, 1-chloro-	0	204
1727	n-Tridecan-1-ol	0	200
1735	1-Octanone, 1-phenyl-	0	204
1737	7-Methoxymethyl-2,7-dimethylcyclohepta-1,3,5-triene	0	164
1740	3-tert-Butyl-4-hydroxyanisole	2	180
1746	2-Pentenoic acid, 4-oxo-, methyl ester, (Z)-	0	128
1748	5-Nitro-3-cyano-2(1H)-pyridone	0	165
1751	1-Decen-3-one	0	154
1753	Hexane, 2-bromo-	0	164
1757	Benzoic acid, 2-hydroxy-, 2-methylbutyl ester	2	208
1758	Nonanedioic acid, monomethyl ester	2	202
1768	Bicyclo[4.3.0]nonan-2-one, 8-isopropylidene-	2	178
1770	Heptane, 2,3-dimethyl-	0	128
1775	Benzamide, N,N-diethyl-4-methyl-	2	191
1776	3-Ethyl-4-nonanol	0	172
1783	Methanamine, 1-(dicyclohexylphosphino)-N,N-dimethyl-	0	255
1784	Lauryl acetate	0	228
1789	Cycloheptane, 1-chloro-3-iodo-	0	258
1791	Benzene, (1-methylundecyl)-	0	246
1795	2H-Indeno[1,2-b]furan-2-one, 3,3a,4,5,6,7,8,8b-octahydro-8,8-dimethyl	2	206
1798	Furan, 4-methyl-2-propyl-	0	124
1800	Octadecanal	0	268
1802	2,5-Cyclohexadiene, 1,4-diethyl-1,4-dimethyl-	0	164
1805	4-Methyloctanoic acid	0	158
1806	Pentane, 2-methoxy-	0	102
1808	Fluorene	2	166
1809	3-Methyl-3H-benzothiazol-2-one	2	165
1815	Tetrahydrofuran-2-one, 5-[1-hydroxyhexyl]-	0	186
1824	1,3,5-Triazine-2,4,6-triamine	2	126
1839	Dec-9-en-6-oxo-1-ylamide	0	183
1840	11-Bromoundecanoic acid	0	264
1841	2-(4-(But-2-yl)phenyl)propanoic acid	2	206
1842	Benzoic acid, 2-methylpropyl ester	2	178
1843	8,11-Dimethyl-2,9,10-trioxa-6-azonia-1-boratatricyclo[4.3.3.0(1,6)]dodecane	0	199
1846	Tetrahydrofuran-2-one, 5-[1-hydroxyhexyl]-	2	186
1847	Propylparaben	2	180
1848	Benzothiazole, 2-(methylthio)-	2	181
1850	Benzene, (1-butylnonyl)-	2	260
1852	Cedrol	2	222
1853	1H-Pyrrolo[3,4-c]pyridine-1,3,4(2H,5H)-trione, 6-methyl-	0	178
1858	2,6-Di-O-methyl-d-galactopyranose	0	208
1860	4,7-Dimethoxyindan-1-one	2	192
1861	Diphenylamine	2	169
1867	1-Hydroxy-1,2,3,4-tetrahydronaphthalene-8-carboxaldehyde	0	176
1872	Benzene, (1-propyloctyl)-	2	232
1873	Phosphoric acid, dibutyl 1,1-dimethyl-2,2,3,3-tetrafluoropropyl ester	0	352
1876	(Phenylthio)acetic acid, (4-methoxyphenyl)methyl ester	0	164
1880	Benzenesulfonamide, 2-methyl-	2	171
1882	Cyclohexanone, 4-(1,1-dimethylpropyl)-	2	168
1883	2-Carbomethoxyphenyl isocyanate	2	177
1884	Benzophenone	2	182
1886	Clonitazene	0	386
1891	Decanoic acid, octyl ester	0	284
1892	Octane, 2,3,3-trimethyl-	0	156
1893	1-Nonanol, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoro-	0	450
1896	Cinnamaldehyde, à-pentyl-	2	202
1897	Triethyl citrate	2	276
