#peak_num	name	molecular ion
2033	1,3-Cyclopentanedione, 2,2-dimethyl-	126
2035	3-Hepten-2-one, 3-methyl-	126
2036	1H-Imidazole-5-ethanamine, 1-methyl-	125
2042	Piperidine-2-carboxamide, 1-amino-N-mesityl-	261
2086	1,7-Dioxaspiro[5.5]undec-2-ene	154
2089	7-Methylene-bicyclo[3.3.1]nonan-3-one oxime	165
2094	Hexanoic acid, anhydride	214
2117	2-Methyl-3-[(1S,2S)-1,3,3-trimethyl-2-(2-hydroxyethyl)cyclohexyl]tetrahydrofuran	254
2122	(-)-Mellein	178
2128	4-Pentenoic acid, 3-methyl-2-(phenylsulfonyl)-, methyl ester	268
2147	3-tert-Butyl-4-hydroxyanisole	180
2155	Fumaric acid, ethyl 3,4,5-trichlorophenyl ester	322
2156	4.Xi.-Germacr-9-en-12-oic acid, 6à-hydroxy-1-oxo-, ç-lactone, (11S)-	250
2165	2,3,4-Trimethoxydibenzofuran	258
2179	Camphorsulfonic acid	230
2196	5-t-Butyl-4-methylimidazole	138
2200	[4-(3,4-Dimethylbenzenesulfonyl)piperazin-1-yl](furan-2-yl)methanone	348
2205	3-Methyl-2-butenoic acid, decyl ester	240
2215	2-Hexanone, 6-(acetyloxy)-	130
2216	3-Buten-2-ol, 2-methyl-4-(1,3,3-trimethyl-7-oxabicyclo[4.1.0]hept-2-yl)-	224
2220	Phenol, 3,4,5-trimethoxy-	184
2225	1,7-Dioxaspiro[5.5]undec-2-ene	154
2230	3-Buten-2-ol, 2-methyl-4-(1,3,3-trimethyl-7-oxabicyclo[4.1.0]hept-2-yl)-	224
2236	Butanoic acid, tridec-2-ynyl ester	266
2239	4-Penten-1-ol	138
2240	Tricyclo[5.1.0.0(3,5)]octane-2,6-dione, 1,3,5,7-tetramethyl-	192
2243	2,7-Octadiene-1,6-diol, 2,6-dimethyl-	170
2247	2-Pentanone, 4-(1,3,3-trimethyl-7-oxabicyclo[4.1.0]hept-2-yl)-	224
2269	Phenol, 4-(3-methyl-2-butenyl)-	162
2273	2,3-Octanedione	275
2279	2-Naphthalenemethanol, decahydro-à,à,4a-trimethyl-8-methylene-, [2R-(2à,4aà,8aá)]-	222
2282	3-Ethyl-2-nonanone	170
2295	2,5-Dimethoxythiophenol	170
2303	(4-Bromo-3,5-dimethylpyrazol-1-yl)(3,4-dimethoxyphenyl)methanone	338
2304	2-Methyl-6,7-dihydro-5H-benzofuran-4-one	150
2333	Thieno[2,3-c]furan-3-carbonitrile, 2-amino-4,6-dihydro-4,4,6,6-tetramethyl-	222
2334	2-Acetamido-3-hydroxypyridine	152
2337	Cyclohexanone, 2,3-dimethyl-2-(3-oxobutyl)-	196
2359	Cyclopenta[c]pentalen-3(3aH)-one, octahydro-1,2,3a,6-tetramethyl-	220
2368	2-Chlorohydrocinnamonitrile	260
2369	Benzoic acid, 2,4-dihydroxy-3,6-dimethyl-, methyl ester	196
2370	Propennitrile, 2-(benzoxazol-2-yl)-3-hydroxy-	186
2378	Benzoic acid, 4-[1-(3,4-dichlorophenyl)ethylidenaminoxymethyl]-, ethyl ester	365
2380	Cholestan-3-one, cyclic 1,2-ethanediyl aetal, (5á)-	430
2403	7-Acetyl-2-hydroxy-2-methyl-5-isopropylbicyclo[4.3.0]nonane	238
2441	2-Allyl-1-trifluoromethylbutandione-1,3	194
2448	1-Butanone, 1-(2,4,6-trihydroxy-3-methylphenyl)-	210
2473	Benzenamine, 2,4,6-trimethyl-3-nitro-	180
2482	2-Cyclohexen-1-one, 4-hydroxy-3,5,6-trimethyl-4-(3-oxo-1-butenyl)-	222
430	2(3H)-Furanone, 5-methyl-	98
553	O,O-Diethyl thiophosphate potassium salt	208
785	o-Cymene	134
833	2,5-Furandione, 3,4-dimethyl-	126
840	Benzeneacetaldehyde	120
912	2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-	144
