Peak Number,Name,Molecular Weight,Similarity Score,1st RT,2nd RT,Area
1876,"Silane, 1-butynyltrimethyl-",126,671,2229,2.581,14817
1892,"1-Butanone, 2-chloro-3-methyl-1-[4-(1-methylethyl)phenyl]-",238,715,2239.49,2.587,7857.7
1897,"Ethanone, 1-(3-hydroxyphenyl)-",136,861,2242.99,2.402,70740
1924,7-Methylindan-1-one,146,817,2270.98,2.488,12000
1940,4-Methylphthalaldehyde,148,928,2284.97,2.686,40206
1942,"Cyclopentanone, 2-(2-octenyl)-",194,710,2288.47,2.006,205576
1960,"1H-Isoindole-1,3(2H)-dione, 2-methyl-",161,898,2298.96,2.594,19746
1962,"p-Menthane-1,2,3-triol",188,684,2302.46,2.013,80120
1977,"Cyclopropane, 1-(1'-propenyl)-2-hydroxymethyl-",112,712,2312.95,2.6,67826
1980,4'-Methylbutyrophenone,162,558,2316.45,2.508,8318
1986,"1-Phthalanol, 1,3,3-trimethyl-",178,650,2319.95,2.317,5436
2011,"2-Propenoic acid, 3-(2-hydroxyphenyl)-, (E)-",164,909,2344.43,2.812,23210
2030,"Phenol, 2-methoxy-4-(1-propenyl)-",164,601,2361.92,2.125,3304.9
2069,Phthalimide,147,874,2400.4,2.785,11501
2077,"1,13-Tetradecadien-3-one",208,599,2407.4,2.145,34363
2083,"2-Phenylacetamide, N-(1-phenyl-2-propyl)-",253,680,2410.9,2.363,10662
2087,4-Methylphthalaldehyde,148,921,2414.39,2.752,40272
2098,2-(2-Chloro-phenyl)-3-(4-methyl-benzoyl)-thiazolidine-4-carboxylic acid,361,604,2431.88,2.534,10024
2107,"1(3H)-Isobenzofuranone, 5-methyl-",148,710,2438.88,2.726,17457
2109,"Sulfurous acid, dipentyl ester",222,797,2442.38,1.769,38043
2123,"Spiro[isobenzofuran-1(3H)-one-3,2'-tetrahydrofuran-5'-one]",204,889,2452.87,2.917,6978
2135,"5,6-Dimethyl-1H-benzotriazole",147,791,2459.87,2.686,7101.3
2140,"1,7,7-Trimethyl-2-vinylbicyclo[2.2.1]hept-2-ene",162,573,2463.37,2.554,23140
2178,4-Methylphthalic anhydride,162,780,2494.85,2.732,8753.2
2219,trans-calamenene,202,699,2536.82,1.828,4616.7
2322,4-Ethylphenyl isocyanate,147,681,2620.78,3.023,16356
2323,"7-Methoxymethyl-2,7-dimethylcyclohepta-1,3,5-triene",164,819,2624.27,2.086,52868
2438,"Benzothiazole, 2-(methylthio)-",181,743,2725.72,2.713,17881
2609,1(2H)-Acenaphthylenone,168,726,2858.64,2.831,5162.9
2842,Benzo[h]cinnoline,180,878,3026.54,2.746,52879
3024,Pentadecanoic acid,242,875,3166.46,1.617,33890
3113,"3,7,11,15-Tetramethyl-2-hexadecen-1-ol",296,857,3278.4,1.432,28169
3219,"Cyclohexanecarboxylic acid, 4-(1,5-dimethyl-3-oxohexyl)-, methyl ester, cis-",268,744,3463.79,2.059,6023.9
3363,Cyclic octaatomic sulfur,256,764,3600.22,2.904,85185
3372,"1,3-Dicyclohexylurea",224,799,3607.21,1.947,489773
3389,"Benzene, 1,1'-(1,3-butadiyne-1,4-diyl)bis-",202,750,3624.7,2.158,2893.5
3428,"4-(3-Hydroxy-2,6,6-trimethylcyclohex-1-enyl)pent-3-en-2-one",222,557,3649.19,2.158,4070.7
3494,"6,7-Dimethoxy-1,4-dihydro-2,3-quinoxalinedione",222,601,3691.16,2.059,4895
3534,trans-Z-à-Bisabolene epoxide,220,780,3722.65,1.894,74784
3585,"2-Benzothiazolamine, N-cyclohexyl-",232,759,3747.13,1.848,87601
3590,"Phenol, 2,4'-isopropylidenedi-",228,560,3750.63,1.907,12534
3653,"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",202,569,3785.61,1.584,10001
3845,"1,4-Naphthoquinone, 2-acetyl-5,8-dihydroxy-3-methoxy-",262,498,3883.55,1.65,11515
4417,"Oxirane, heptadecyl-",282,890,4121.42,1.294,78004
