#peak_num	name	confidence
1306	Vanillin	2
1623	1-Penten-3-one, 1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-	1
2504	Dibutyl phthalate	1
3247	2-Isopropyl-10-methylphenanthrene	2
2095	Benzamide, N-propyl-	2
962	Butanoic acid, 2-ethyl-2,3,3-trimethyl-	0
2353	2-Ethylhexyl methyl isophthalate	1
3240	Benzene, 1,3-dimethoxy-5-[(1E)-2-phenylethenyl]-	2
2450	Dibenzothiophene, 3-methyl-	2
4238	Benzo(a)pyrene-4,5-dione	0
1647	Dibenzofuran	0
3530	Pyrene, 1,3-dimethyl-	2
465	Allyl 2-ethyl butyrate	0
2818	4-Oxazolecarboxylic acid, 4,5-dihydro-2-phenyl-, 1-methylethyl ester	1
3191	Propanal, 2-methyl-, ethylhydrazone	0
639	2,3-Di-O-benzoyl-d-ribopyranose	0
1712	Cyclopentadecanone, 4-methyl-	0
1876	(Phenylthio)acetic acid, (4-methoxyphenyl)methyl ester	0
1687	2-Octene, 1-(methoxymethoxy)-, (E)-	0
1351	Ethanamine, N,N-dimethyl-2-[(trimethylsilyl)oxy]-	0
677	Oxazolidin-2-one	1
976	Bendiocarb	0
936	Vinyl caprylate	0
2010	Phenol, 2,6-dimethoxy-4-(2-propenyl)-	2
1515	Suberic acid monomethyl ester	1
2059	Benzene, 1,1'-butylidenebis-	2
2039	Acetaminophen	2
3249	2H-Phenanthro[9,10-b]pyran	1
1884	Benzophenone	2
1208	1(3H)-Isobenzofuranone	2
3810	2-Phenylbutyryl chloride	0
1153	Methyl-3-(2,2-dichlorovinyl)-2,2-dimethyl-(1-cyclopropane)carboxylate,c&t	2
3194	Dibenzo[b,d]thiophene, 1,3,6,7-tetramethyl-	0
2079	1,4,7,10,13,16,19,22-Octaoxacyclotetracosane-2,14-dione	1
541	Ethanone, 1-cyclopropyl-	0
3116	Benzo[kl]xanthene	2
2425	Benzene, 1-(1,1-dimethylethyl)-3,5-dimethyl-2,4,6-trinitro-	2
1178	Sydnone, 3-(phenylmethyl)-	1
2558	Phenanthrene, 1-methyl-	2
4445	2,3,6-Trichlorobenzoyl chloride	0
22	Hexane, 2,3,4-trimethyl-	1
3727	Benzene, 1,1'-(1,1,2,2-tetramethyl-1,2-ethanediyl)bis-	1
3596	Benzoyl chloride, 4-pentyl-	0
3378	Pyrene, 4-methyl-	2
1614	1-Undecanol	1
2164	2,6-Pyridinedicarboxylic acid, octyl phenethyl ester	1
1429	Phenol, 4-(2-methylpropyl)-	0
489	1H-Imidazole, 4-methyl-	0
3594	5H-Pyrrolo[2,3-b]pyrazine-2,3-dicarbonitrile, 6-amino-5-(2-dimethylaminoethyl)-7-(1-methyl-1H-benzoimidazol-2-yl)-	0
2788	Tetradecane	1
4017	9-Oximino-2,7-diethoxyfluorene	0
3374	1-Propanol, dl-2-benzylamino-,	1
3729	2,3,4,5-Tetrafluorobenzyl alcohol, isopropyl ether	0
1237	6-Oxa-bicyclo[3.1.0]hexan-3-ol	0
3248	Allococaine	2
80	3-Hexene, 2,2-dimethyl-	0
3710	Benzoic acid, pentadecyl ester	1
1326	Piperidine, 1-(1-butenyl)-	0
1132	Methyl-3-(2,2-dichlorovinyl)-2,2-dimethyl-(1-cyclopropane)carboxylate,c&t	2
883	Benzeneacetamide, à-ethyl-	0
894	2-Coumaranone	1
1088	4a(2H)-Naphthalenol, 2-bromo-4,4-dichlorooctahydro-	0
1656	2(3H)-Furanone, dihydro-5-phenyl-	2
2484	Benzene, (1-methyldecyl)-	1
645	Succinic anhydride	0
4083	Phthalic acid, 5-methylhex-2-yl heptadecyl ester	1
2805	p-Dicyclohexylbenzene	1
4040	3-Phenoxybenzhydrazide	0
562	n-Decanoic acid	0
3605	Ethanol, 2-[2-[2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethoxy]ethoxy]-	1
2319	Indole-5-aldehyde	2
1993	2-Hydroxy-2-phenylacetic acid, p-methoxybenzyl ester	0
649	Octanoic acid	1
3009	Pyrene	2
892	Hexanoic acid, 4-tetradecyl ester	0
3241	Cyclohexanone, 2,4-diacetyl-5-hydroxy-3-(4-methoxyphenyl)-5-methyl-	0
1936	Tridecanoic acid, 12-methyl-, methyl ester	1
1307	Benzeneacetamide	2
927	Nonanoic acid	1
2780	Tridecanoic acid	1
739	2H-Pyran-2-one, 6-ethyltetrahydro-	0
3838	Carbonic acid, octyl phenyl ester	0
1639	Benzyl sulfone	0
2616	Pyrrolo[1,2-a]pyrazine-1,4-dione, hexahydro-3-(2-methylpropyl)-	2
965	1,2-Benzenediol, 3-methyl-	0
4147	1,3-Propanediamine, N'-(4-chlorophenyl)-N,N,2-trimethyl-	0
809	Neodecanoic acid	0
3571	Pyrene, 1,3-dimethyl-	1
2612	1,2-Benzenedicarboxylic acid, butyl octyl ester	1
2060	2(1H)-Naphthalenone, 3,4-dihydro-	2
1680	Benzoic acid, 2-amino-6-chloro-, methyl ester	1
2588	Acridine, 9,10-dihydro-9,9-dimethyl-	2
3959	Benzoic acid, 4-(4-ethylcyclohexyl)-, 4-butoxy-2,3-dicyanophenyl ester	0
3992	Benzenesulfonyl chloride, 2,4,6-tris(1-methylethyl)-	0
3728	Butanedioic acid, 2,3-bis(benzoyloxy)-, [S-(R*,R*)]-	1
1204	6-Hydroxy-4-oxodecanedioic acid, ëlactone, methyl ester	1
2043	1,3-Cyclohexadiene-1-carboxylic acid, 2,6,6-trimethyl-, ethyl ester	0
394	1,2-Butanediol	0
3061	Ethanol, 2-[2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethoxy]-	2
3219	Dibutyl phthalate	1
3171	Methyl dehydroabietate	0
252	4(H)-Pyridine, N-acetyl-	1
2557	2-Cyclohexylpiperidine	0
1978	(S)-(+)-2',3'-Dideoxyribonolactone	1
1775	Benzamide, N,N-diethyl-4-methyl-	2
1735	1-Octanone, 1-phenyl-	0
898	Butanal, propylhydrazone	0
3677	Benzo[b]naphtho[2,1-d]thiophene	2
1485	Biphenylene	2
3109	Phenanthrene, 2,3,5-trimethyl-	2
2051	1,1'-Biphenyl, 2,2'-diethyl-	2
647	1-Nonanol	1
2302	Oleic Acid	1
986	Hydroquinone	2
3210	4H-Benzo[def]carbazole	2
1516	Ethanone, 1-[4-(1-hydroxy-1-methylethyl)phenyl]-	0
2888	trans-13-Octadecenoic acid, methyl ester	1
2503	3,4'-Diisopropylbiphenyl	2
1608	Ethanone, 1-(2,3,4-trichlorophenyl)-	2
3192	1,7,7-Trimethyl-3-phenethylidenebicyclo[2.2.1]heptan-2-one	1
1261	N-Ethyl-2-isopropoxycarbonylazetidine	1
2835	1,1'-Biphenyl, 2,2'-dimethyl-6,6'-dinitro-	0
1226	Acetic acid, 2-oxa-7-thia-tricyclo[4.3.1.0(3,8)]dec-10-yl ester	0
3039	9,10-Anthracenedione, 2-methyl-	2
1222	Tricyclo[4.3.1.1(3,8)]undecan-3-ol	0
1841	2-(4-(But-2-yl)phenyl)propanoic acid	2
3595	2-[p-Chlorostyryl]-4-[4-[diethylamino]-1-methylbutyl]amino-6-methoxyquinoline	0
2046	Benzoic acid, 2,4-dihydroxy-3,6-dimethyl-, methyl ester	2
2920	Naphthalene-2-carbonitrile, 1,2,3,4-tetrahydro-2-oxo-spiro-3-cyclohexane-	1
522	Oxirane, tetramethyl-	0
3715	Naphtho(2,1-f)quinoline	2
830	1,3-Cyclopentadiene, 1-(3-butynyl)	1
2191	2-Butenoic acid, 3-[[(ethylamino)methoxyphosphinothioyl]oxy]-, 1-methylethyl ester, (E)-	2
2084	Phenol, 4-(1,1-dimethylpropyl)-	0
559	Decane, 5-methyl-	0
3286	1,2-Benzenedicarboxylic acid, bis(4-methylpentyl) ester	1
2942	4'-Ethyl-4-biphenylcarboxylic acid	0
4378	5-Chlorovaleric acid, 3-pentadecyl ester	0
1954	Valeric acid, 4-pentadecyl ester	1
1651	Nonanedioic acid, dimethyl ester	0
2287	2-(2-Diethylaminoethylamino)ethanol	1
923	Cyclohexanone, 2-(1-methylethylidene)-	0
2082	Benzene, (1-propyldecyl)-	1
4108	Cannabinol, O-trimethylsilyl-	0
2646	3H-Isobenzofuran-1-one, 6,7-dimethoxy-3-p-tolylamino-	0
1448	Phthalic acid, methyl 2-methylphenyl ester	0
2765	Phenanthrene, 1,7-dimethyl-	1
1189	Pyridine, 2-(1-methyl-2-pyrrolidinyl)-	2
3761	Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, (3-phenoxyphenyl)methyl ester, (1R-cis)-	0
262	Acethydrazide, N2-(1,2-dimethylpropylideno)-	0
2655	Phenylethyl salicylate	2
1645	1-Dodecanethiol	1
1061	4,5-Bis-dimethoxymethyl-octanedioic acid, dimethyl ester	0
3082	2-Propenoic acid, 3-(4-methoxyphenyl)-, 2-ethylhexyl ester	2
1098	2-Cyclohexen-1-one, 2-methyl-5-(1-methylethyl)-, (S)-	1
1113	Bicyclo[4.4.1]undeca-1,3,5,7,9-pentaene	0
3991	2-Hexadecyl-5-methylpyrrolidine	1
2474	Ethanone, 2,2-dimethoxy-1,2-diphenyl-	1
942	Benzaldehyde, 3-methoxy-	1
3890	Phthalic acid, 4-methylhept-3-yl undecyl ester	1
1666	Hexanoic acid, anhydride	1
309	N-(N-Glycylglycyl)glycine	0
3854	Benzo(b)carbazole	2
439	2-Hexanone, 5-methyl-	1
822	Butyl aldoxime, 3-methyl-, syn-	0
1758	Nonanedioic acid, monomethyl ester	2
1646	Nonanoic acid, pentafluorophenyl ester	0
177	2-Propen-1-ol	0
3676	Diethylene glycol dibenzoate	2
3154	p,p'-DDE	2
2301	2-Pentadecanone, 6,10,14-trimethyl-	1
1039	Benzocycloheptatriene	1
1059	à-l-Mannose semicarbazone pentaacetate	0
1626	1-Naphthalenol	2
44	5-Hexen-2-one, 5-methyl-	1
3587	6H-Benz[de]anthracen-6-one	2
754	p-Chlorophenyl (2-methoxyethyl)carbamate	0
3108	cis-Nonachlor	2
1842	Benzoic acid, 2-methylpropyl ester	2
3274	Oxiraneoctanoic acid, 3-octyl-, methyl ester, cis-	1
706	1,3-Butanediamine	0
1886	Clonitazene	0
624	2-Nonenal, (Z)-	1
412	4-Aminopyrimidine	2
2846	Hexaethylene glycol	1
3090	Chlordane	2
3221	Phenanthrene, 2,3,5-trimethyl-	1
1586	Indene-1,7(4H)-dione, 3a,7a-dihydro-5-methyl-	0
83	3-Amino-2-oxazolidinone	0
1147	4,4,6-Trimethyl-cyclohex-2-en-1-ol	1
778	Bicyclo[2.2.1]heptane, 2-(1,1-dimethyl-2-propenyl)-	0
575	Diallyl carbonate	0
2482	Acridine, 9,10-dihydro-	2
3102	Benzeneacetaldehyde, à,à-diphenyl-	0
126	2(5H)-Furanone, 3-methyl-	2
3361	Cyclopentanetridecanoic acid, methyl ester	1
3357	2H-Phenanthro[9,10-b]pyran	1
2423	Acetamide, N-hexyl-	0
4085	Permethrine	1
3832	Dibromophenyl ether	2
1640	1,2,3,4,5-Cyclopentanepentol	0
3820	1H-Indene, 2,3-dihydro-1,1,3-trimethyl-3-phenyl-	1
2905	Phenol, 2-[(4-hydroxyphenyl)methyl]-	2
2774	1-Phenanthrenecarboxaldehyde, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1S-(1à,4aà,10aá)]-	0
1136	2,4-Imidazolidinedione, 5-methyl-	2
3232	3H-Cycloocta[c]pyran-3-one, 5,6,7,8,9,10-hexahydro-4-isopropyl-1-phenyl-	0
2280	Phenol, 2-(1-phenylethyl)-	2
4757	Benzene, 1,1'-(1,4-dimethyl-1-butene-1,4-diyl)bis-	1
1753	Hexane, 2-bromo-	0
1213	2-Benzyloxyethylamine	1
1858	2,6-Di-O-methyl-d-galactopyranose	1
2711	Ethanol, 2-[4-(1,1-dimethylpropyl)phenoxy]-	2
2069	Cotinine	2
1929	Ethanone, 1-(7-hydroxy-5-methoxy-2,2-dimethyl-2H-1-benzopyran-8-yl)-	1
115	Phenol	2
1907	Methyl-(2-hydoxy-3-ethoxy-benzyl)ether	1
3176	Androst-5-en-17-one, 3-(acetyloxy)-19-hydroxy-, (3á)-	0
1134	Triacetin	2
2217	N-Methyldodecanamide	1
930	2(3H)-Benzofuranone, 3-methyl-	0
719	4-Vinyl-imidazole	1
682	Decane, 1-fluoro-	1
2758	N-(2-Ethylhexyl)-5-norbornene-2,3-dicarboximide	2
3137	2-Aminodiphenylsulfone	2
129	Furan, 2-pentyl-	2
667	3-[N'-(3H-Indol-3-ylmethylene)-hydrazino]-5-methyl-[1,2,4]triazol-4-ylamine	0
1111	2,5-Dimethyl-3-hexanol acetate	0
1961	Tridecanenitrile	1
2495	Pyrene, 1,3-dimethyl-	2
1243	Ethanone, 1-(2,5-dimethylphenyl)-	0
2684	ç-Dodecalactone	1
1815	Tetrahydrofuran-2-one, 5-[1-hydroxyhexyl]-	0
2129	Phenol, 4-(1,1-dimethylpropyl)-	1
1119	Formic acid, neopentyl ester	1
1305	2,3-Dimethylhydroquinone	1
3103	1-Dimethyl(3-chloropropyl)silyloxypropane	0
1049	1-Imidazolidinemethanol, 4,4-dimethyl-2,5-dioxo-	1
612	2-Oxepanone	2
671	Benzoic acid	2
2902	Phenanthrene, 2,3-dimethyl-	2
3297	Padimate O	2
3101	p-Terphenyl	1
331	Benzeneacetaldehyde	2
1093	2,3,6-Trimethylacetophenone	2
3721	Phenol, 2,4-bis(1-phenylethyl)-	2
787	Ethane, 1,1'-oxybis[2-methoxy-	0
4153	Octabenzone	2
397	p-Cresol	2
3062	Tonalid	2
1148	Carbamic acid, phenyl-, methyl ester	2
1551	Tetraethyleneglycol monomethylether	0
3075	Indeno[2,1-b]chromene,	2
1957	3-O-Methyl-d-glucose	0
3163	Phenanthrene, 2,3,5-trimethyl-	2
1310	Niacinamide	2
3698	Acetamide, N-hexyl-	0
411	Cyclohexane, ethyl-	1
3159	2-[2-[2-Methoxyethoxy]ethoxy-1,3-dioxalane	1
2150	Benzene, (1-ethyloctyl)-	1
2784	Phenanthrene, 1,7-dimethyl-	2
1007	Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, formate, endo-	1
3337	(3-Methylphenyl) methanol, 1-methylpropyl ether	0
875	Benzothiazole	2
3979	Phthalic acid, octyl 2-propylpentyl ester	1
1999	Benzestrol	0
3434	1-Propanol, 2,3-dichloro-, phosphate (3:1)	2
1873	Phosphoric acid, dibutyl 1,1-dimethyl-2,2,3,3-tetrafluoropropyl ester	0
483	Cyclohexanone, 2-isopropyl-2,5-dimethyl-	0
1296	1,4-Benzenediol, 2-methoxy-	0
2185	1-Butanone, 1-(2,4,6-trihydroxy-3-methylphenyl)-	2
4157	1-Decanol, 10-[(tetrahydro-2H-pyran-2-yl)oxy]-	0
588	Nonanal, 3-(methylthio)-	0
2201	Naphtho[2,1-b]thiophene	2
1976	p-Xylylene dithiocyanate	0
1609	Pyrido[2,3-d]pyridazine-5(6H)-thione	0
1276	1,6-Anhydro-3,4-dideoxy-á-D-gluco-hexopyranose	0
1291	2,4-Octadienoic acid, 3-methyl-, methyl ester	1
1065	2-t-Butyl-cyclopropanecarboxylic acid, 2,6-di-t-butyl-4-methyl-phenyl ester	0
2169	Pentadecanoic acid, 14-methyl-, methyl ester	1
548	Cyclobutanecarboxylic acid, cyclobutyl ester	0
3172	9-Anthracenecarbonitrile	2
910	1,4-Butanediol, 2,3-bis(methylene)-	0
3895	11H-Benzo[a]carbazole	2
1638	Lilial	2
1406	N-(3,4-Dichlorophenyl)-3-[(4-hydroxybenzoyl)hydrazono]butyramide	0
1660	Ethanone, 1-(3-amino-4-methoxyphenyl)-	0
3882	Acetic acid, 3-ethoxy-4,5-dihydroisoxazol-5-ylmethyl ester	0
1850	Benzene, (1-butylnonyl)-	2
3227	Tributyl acetylcitrate	2
1495	Salicylamide	2
1040	3-Methyldec-3-ene	0
3423	Phenanthrene, 3,4,5,6-tetramethyl-	2
1716	[1,2,4]Triazole-3-thione, 4-allyl-2-morpholin-4-ylmethyl-5-phenyl-2,4-dihydro-	0
1431	L-Leucine, N-glycyl-	0
2271	2-Propanol, 1-chloro-, phosphate (3:1)	2
1425	Butanal, oxime	1
1853	1H-Pyrrolo[3,4-c]pyridine-1,3,4(2H,5H)-trione, 6-methyl-	0
688	2-Oxazolidinone,4,4-dimethyl-	1
1654	4-Methoxymethoxy-4-methyl-hex-2-yn-1-ol	0
2085	1-(2,4-Dihydroxybenzoyl)-3-ethyl-5-trifluoromethyl-5-hydroxy-2-pyrazoline	0
743	Phenol, 2-(1-methylethyl)-	2
1089	Phenyl-á-D-glucoside	0
2929	Benzenamine, 4,4'-methylenebis[2-methyl-	1
3766	1-Phenyldibenzofuran	1
1746	2-Pentenoic acid, 4-oxo-, methyl ester, (Z)-	1
1546	Hydroperoxide, 1-methylethyl	1
1348	1,1'-(1,1'-Cyclopropylidenediethylidene)disemicarbazide	0
4078	Phthalic acid, heptyl undecyl ester	1
1002	Resorcinol, 2-acetyl-	1
2712	2-Propen-1-one, 1,3-diphenyl-, (E)-	2
1483	2(3H)-Furanone, 5-acetyldihydro-	2
1197	o-Isopropylphenetole	2
3128	Phenanthrene, 2,3,5-trimethyl-	2
2024	1,2-Cyclopentanedione, 3-phenyl-	1
1720	Benzene, 1-ethyl-4-(2-methylpropyl)-	0
2435	Myristic acid vinyl ester	1
2549	Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-	1
1416	Non-7-ynamide	0
1629	1,3-Cyclopentanedione, 4-methyl-5-pentyl-	0
4174	9H-Fluorene, 9-(phenylmethylene)-	1
298	2-Acetyl-5-methylfuran	2
537	Maltol	2
2018	m-Anisic acid, 4-nitrophenyl ester	0
3597	Phthalic acid, 6-ethyl-3-octyl heptyl ester	1
1574	Tetrahydrofuran-2-one, 3-[2-pentenyl]-4-methyl-	0
3722	Benz[a]anthracene	2
641	2-Phenylpropenal	1
1123	Pentanoic acid, 4-oxo-, pentyl ester	1
2943	Pyrene	2
3395	15-Isobutyl-(13àH)-isocopalane	1
2160	Hexadecen-1-ol, trans-9-	1
1641	Furan, 3-phenyl-	2
1768	Bicyclo[4.3.0]nonan-2-one, 8-isopropylidene-	0
1012	3-Cyclobutene-1,2-dione, 3,4-dihydroxy-	2
1082	cis-1,2-Dihydrocatechol	0
467	Phenol, 2-methoxy-	2
4591	Binaphthyl sulfone	1
1541	4-Hydroxy-3-methylacetophenone	1
313	1-Propanol, 2,2'-oxybis-	1
1030	1,3-Dioxolan-2-one, 4-methyl-5-methylene-4-(2-methyl-2-phenylpropyl)-	1
2263	Phenanthrene	2
3252	Triethylene glycol monododecyl ether	1
492	Trifluoroacetyl-di-t-butylphosphine	1
188	3-Pentanol, 2-methyl-	0
2659	Hexadecanoic acid, 15-methyl-, methyl ester	1
2754	Methyl 2-ethylhexyl phthalate	1
3533	Isovaleric acid, eicosyl ester	1
1892	Octane, 2,3,3-trimethyl-	0
341	2-Pyrrolidinone, 1-methyl-	1
2166	Benzo[h]cinnoline	2
3420	Naphtho[2',3':4,5]imidazo[1,2-a]pyridine-6,11-dione	0
3457	Benzyl butyl phthalate	1
1114	Phenol, 2-(2-methylpropyl)-	2
1423	Undecanoic acid	1
4256	5H-Indeno[1,2-b]pyridin-5-ol, 5-allyl-4-amino-	0
1357	2,4(1H,3H)-Pyrimidinedione, dihydro-	1
1081	3,4-Dimethylbenzyl isothiocyanate	0
3268	Cocaine	1
686	Azetidine, n-propyl-	1
737	2-Methoxy-p-phenylenediamine	0
1669	Ethanone, 1-(3-methyloxiranyl)-	0
3518	Benzoic acid, pentadecyl ester	1
897	Cyclohexanone, 2-(1-methylethylidene)-	2
1573	1,3-Benzenedicarboxylic acid, dimethyl ester	2
1694	2-Furanone, 4-phenyltetrahydro	2
3124	Cyclopropylphenylmethane	0
2239	Benzenemethanol, 3-phenoxy-	2
2904	Cyclopenta(def)phenanthrenone	2
836	3,4-Anhydro-d-galactosan	0
2692	1,3-Dioxolane, 2-(4-methoxyphenyl)-2-methyl-	0
1099	5-[2-(1,3-Dioxolan-2-yl)-ethyl]-2-methyl-1-cyclopentene-1-carboxaldehyde	0
519	(Z)-Dec-4-enyl (E)-2-methylbut-2-enoate	0
3412	4H-[1,2,4]Triazole-3-thiol, 4-benzyl-5-furan-2-yl-	1
2090	Benzoic acid, 1-methylethyl ester	0
3949	4H-1-Benzopyran-4-one, 5-hydroxy-7-methoxy-2-phenyl-	1
2625	Ethanol, 2-[4-(1,1-dimethylpropyl)phenoxy]-	2
2161	Naphthalene, 6,7-diethyl-1,2,3,4-tetrahydro-1,1,4,4-tetramethyl-	0
3145	l-isoleucine, N-dinitrophenyl-	0
1102	Sorbic Acid	0
725	Benzaldehyde, oxime	2
553	Sydnone, 3,4-dimethyl-	0
4087	Benzo[b]naphtho[2,3-d]thiophene, 6,8-dimethyl-	0
4599	à-Tocopheryl acetate	2
1263	N-[2-Hydroxyethyl]succinimide	0
1405	1-Propanol, 2,2-dimethyl-, benzoate	2
1069	Thiophene, 3-nitro-2-(2-thienylsulfonyl)-	0
2200	Pentaethylene glycol	1
2615	Anthracene, 1-methyl-	2
2188	Tridecanoic acid, 12-methyl-, methyl ester	1
1260	Norfenefrine	0
700	Ethanol, 2-(2-butoxyethoxy)-	1
2704	3,7-Dimethyldibenzothiophene	2
1988	4-Methyleneproline	1
3325	1,8-Diazacyclotetradecane-2,7-dione	1
2016	Fumaric acid, isohexyl 4-methylpent-2-yl ester	1
4744	cis-Vaccenic acid	1
197	2-Furanone, 2,5-dihydro-3,5-dimethyl	2
4498	Miconazole	2
1824	1,3,5-Triazine-2,4,6-triamine	2
4000	Phenol, 2-(2H-benzotriazol-2-yl)-4,6-bis(1,1-dimethylpropyl)-	1
2860	Methoxyacetic acid, 3-tetradecyl ester	1
1244	3-Tetradecene, (Z)-	1
925	3-Methoxy-2,2-dimethyloxirane	0
3277	2,6-Diphenylpyridine	2
3309	Phthalic acid, 2-chloropropyl heptyl ester	1
1457	Sucrose	0
2642	Octadecanoic acid, ethyl ester	1
1882	Cyclohexanone, 4-(1,1-dimethylpropyl)-	0
3547	5-Acetyl-4-(2-furyl)-4,5,6,7-tetrahydro-6-hydroxy-3,6-dimethyl-1H-benzindazole	1
3613	Benzo[ghi]fluoranthene	2
3444	Eicosanoic acid, phenylmethyl ester	1
4134	Piperine	2
748	2-Piperidinone	1
3732	1,3,4-Oxadiazole-2(3H)-thione, 5-(2-bromophenyl)-3-benzyl(methyl)aminomethyl-	0
1700	1,3-Diazine	0
291	2-Cyclopenten-1-one, 3-methoxy-4-methyl-	0
2831	Fumaric acid, dicyclohexyl ester	0
1142	(S)-(+)-2',3'-Dideoxyribonolactone	1
2998	Benzenamine, 4,4'-methylenebis[2-methyl-	1
1559	m-Toluic acid, pentyl ester	0
1522	3-Penten-2-one, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-	1
721	1H,1H,2H,2H-Perfluorodecan-1-ol	0
3272	N1-Isopropyl-2-methyl-1,2-propanediamine	0
3628	N-carbobenzyloxy-propan-3-ol-1-amine	1
971	3-Cyclopenten-1-one, 2,2,5,5-tetramethyl-	0
3841	2-Methylbenzo[b]naphtho[2,1-d]thiophene	2
791	1,4:3,6-Dianhydro-à-d-glucopyranose	1
1519	Cyclopentanone, 3,4-bis(methylene)-	0
903	4-Fluorophenyl 2-thiophenecarboxylate	0
2685	Musk ketone	2
